Positive,Negative,Game_name,Positive_Rate,Link
12833,2090,Assetto Corsa,0.86,https://store.steampowered.com/app/244210/Assetto_Corsa/
47759,14266,Trove,0.77,https://store.steampowered.com/app/304050/Trove/
9220,1025,My Time At Portia,0.9,https://store.steampowered.com/app/666140/My_Time_At_Portia/
1684,723,Fallout 4 VR,0.7,https://store.steampowered.com/app/611660/Fallout_4_VR/
22927,1464,Enter the Gungeon,0.94,https://store.steampowered.com/app/311690/Enter_the_Gungeon/
2760,488,Arizona Sunshine,0.85,https://store.steampowered.com/app/342180/Arizona_Sunshine/
7767,1371,Age of Mythology Extended Edition,0.85,https://store.steampowered.com/app/266840/Age_of_Mythology_Extended_Edition/
1821,745,Football Manager 2019,0.71,https://store.steampowered.com/app/872790/Football_Manager_2019/
9934,2968,FINAL FANTASY XV WINDOWS EDITION,0.77,https://store.steampowered.com/app/637650/FINAL_FANTASY_XV_WINDOWS_EDITION/
2850,1748,Gold Rush The Game,0.62,https://store.steampowered.com/app/451340/Gold_Rush_The_Game/
88,14,Jump King,0.87,https://store.steampowered.com/app/1061090/Jump_King/
5790,3550,Train Simulator 2019,0.62,https://store.steampowered.com/app/24010/Train_Simulator_2019/
2039,85,Just Shapes  Beats,0.96,https://store.steampowered.com/app/531510/Just_Shapes__Beats/
16042,1396,Call of Duty World at War,0.92,https://store.steampowered.com/app/10090/Call_of_Duty_World_at_War/
41306,5106,Killing Floor 2,0.89,https://store.steampowered.com/app/232090/Killing_Floor_2/
253,38,SpellForce 3 Soul Harvest,0.87,https://store.steampowered.com/app/817540/SpellForce_3_Soul_Harvest/
20511,855,Slime Rancher,0.96,https://store.steampowered.com/app/433340/Slime_Rancher/
3609,1778,MapleStory,0.67,https://store.steampowered.com/app/216150/MapleStory/
646,57,KovaaKs FPS Aim Trainer,0.92,https://store.steampowered.com/app/824270/KovaaKs_FPS_Aim_Trainer/
57327,1773,Mount  Blade Warband,0.97,https://store.steampowered.com/app/48700/Mount__Blade_Warband/
14584,6251,World of Tanks Blitz MMO,0.7,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz_MMO/
12533,3134,Rising Storm 2 Vietnam,0.8,https://store.steampowered.com/app/418460/Rising_Storm_2_Vietnam/
